"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"Lincoln University",65101,38.564409,-92.168509,NA,0.0223,7042,13432,9271,9901,11211,13201,12652,NA,NA,NA,NA,NA,327,NA,5593,23960,50439.72,5000,13600,35000,46600,6900,16200,42600,57700
"Lindenwood University",NA,38.788203,-90.502825,0.5539,0,16022,16022,NA,NA,NA,NA,NA,20969,20125,21030,22789,24138,NA,800,6943,27000,68730.21,10400,21200,46800,61400,12200,25100,57300,76800
"State Technical College of Missouri",NA,38.468301,-91.811298,NA,0.0884,5873,10665,7995,7515,8752,9845,9386,NA,NA,NA,NA,NA,333,NA,5120,10377,51298.36,10800,24800,48300,66500,12100,26300,56000,70200
"Logan University",63017,38.63133,-90.542333,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6256,7050,63720.92,6400,18200,52200,78100,6700,25300,69400,89200
"Metropolitan Community College-Kansas City",NA,39.06855,-94.591181,NA,0.0264,2880,6900,6739,7206,8845,10589,10517,NA,NA,NA,NA,NA,1091,NA,5237,8231,57556.72,5000,13900,37600,50800,6100,15900,43800,60300
"Maryville University of Saint Louis",NA,38.645474,-90.505096,0.7227,0,26958,26958,NA,NA,NA,NA,NA,18576,19382,23121,27066,28758,NA,285,7555,23674.5,70678.19,14100,27400,53300,67900,15500,31200,64400,83900
"Merrell University of Beauty Arts and Science",65109,38.571277,-92.198331,NA,0,NA,NA,NA,NA,NA,NA,NA,12847,NA,NA,NA,NA,NA,21,NA,9500,53158.53,3100,6800,25900,30900,NA,NA,NA,NA
"Metro Business College-Cape Girardeau",63701,37.327199,-89.565222,NA,0,10325,10325,NA,NA,NA,NA,NA,10723,11059,NA,NA,NA,NA,28,2753,12999,48083.43,3100,10400,24700,32200,3700,9200,27600,38900
"Midwest Institute",63026,38.541682,-90.462402,NA,0,NA,NA,NA,NA,NA,NA,NA,20773,NA,NA,NA,NA,NA,4,4373,9500,59330.31,2100,12200,27400,32400,4300,11700,29800,41200
"Midwestern Baptist Theological Seminary",NA,39.185691,-94.573185,0.9655,0,6340,6340,NA,NA,NA,NA,NA,8581,7872,9752,13594,10697,NA,21,5254,17004.5,63229.67,NA,NA,NA,NA,NA,NA,NA,NA
