"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"Setting the Standard Barbering and Natural Hair Academy",NA,32.48431,-93.797561,NA,0,NA,NA,NA,NA,NA,NA,NA,7580,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bos-Man's Barber College",71108,32.442049,-93.781978,NA,0,NA,NA,NA,NA,NA,NA,NA,16077,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lawrence & Company College of Cosmetology",NA,36.57043,-119.611831,NA,0,NA,NA,NA,NA,NA,NA,NA,10354,7941,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare Preparatory Institute",NA,36.23771,-115.224051,NA,0,NA,NA,NA,NA,NA,NA,NA,25121,24853,NA,NA,NA,NA,49,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama College of Osteopathic Medicine",NA,31.206182,-85.340726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morthland College",NA,37.897051,-88.92657,0.4694,0,10780,10780,NA,NA,NA,NA,NA,23054,23656,23896,23646,NA,NA,7,2119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High Desert Medical College",NA,34.67562,-118.144411,NA,0,31107,31107,NA,NA,NA,NA,NA,38532,38730,NA,NA,NA,NA,17,NA,7521,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paul Mitchell the School-Schenectady",NA,42.81348,-73.941781,NA,0,NA,NA,NA,NA,NA,NA,NA,15538,NA,NA,NA,NA,NA,43,NA,6222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beyond Measure Barbering Institute",NA,36.098388,-79.276499,NA,0,NA,NA,NA,NA,NA,NA,NA,13658,NA,NA,NA,NA,NA,6,NA,13826,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beauty Anatomy Institute of Cosmetology and Wellness",NA,26.255457,-80.100372,NA,0,NA,NA,NA,NA,NA,NA,NA,21116,21092,22859,NA,NA,NA,8,NA,8875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barber Institute of Texas",NA,32.46156,-94.732151,NA,0,NA,NA,NA,NA,NA,NA,NA,14894,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jupiter Beauty Academy",NA,42.30621,-71.057305,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MedQuest College",NA,38.24006,-85.544941,NA,0,NA,NA,NA,NA,NA,NA,NA,18760,19708,20685,NA,NA,NA,96,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"First Coast Barber Academy",32202,30.247404,-81.728434,NA,0,NA,NA,NA,NA,NA,NA,NA,12401,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Debutantes School of Cosmetology and Nail Technology",NA,41.93059,-88.751471,NA,0,NA,NA,NA,NA,NA,NA,NA,12127,NA,NA,NA,NA,NA,33,NA,9833,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Excel Academies of Cosmetology-Troy",NA,42.608116,-83.129847,NA,0,NA,NA,NA,NA,NA,NA,NA,19914,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paul Mitchell the School-Merrillville",NA,41.473381,-87.335929,NA,0,NA,NA,NA,NA,NA,NA,NA,17552,NA,NA,NA,NA,NA,27,NA,9615,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paul Mitchell the School-Lansing",NA,42.73455,-84.508781,NA,0,NA,NA,NA,NA,NA,NA,NA,12858,NA,NA,NA,NA,NA,3,NA,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ricci's Academy of Cosmetology",NA,41.39287,-73.290981,NA,0,NA,NA,NA,NA,NA,NA,NA,13777,14352,18172,19299,19299,NA,32,NA,9833,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yahweh Beauty Academy",NA,31.1129,-97.700581,NA,0,NA,NA,NA,NA,NA,NA,NA,14652,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vantage College-San Antonio",NA,29.507847,-98.547515,NA,0,NA,NA,NA,NA,NA,NA,NA,20285,NA,NA,NA,NA,NA,5,NA,10849.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Preparing People Barber Styling College",NA,32.77321,-96.764231,NA,0,NA,NA,NA,NA,NA,NA,NA,13764,NA,NA,NA,NA,NA,100,NA,16500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona School of Integrative Studies",85705,34.76364,-112.042073,NA,0,NA,NA,NA,NA,NA,NA,NA,9834,9330,13490,13490,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee Professional Institute",NA,26.60411,-81.851341,NA,0,NA,NA,NA,NA,NA,NA,NA,12957,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burnett International College",NA,26.51069,-80.091251,NA,0,36280,36280,NA,NA,NA,NA,NA,46198,46398,NA,NA,NA,NA,65,NA,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Park Place Premier Barber School",NA,29.99723,-90.060751,NA,0,NA,NA,NA,NA,NA,NA,NA,6376,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Salon Professional Academy-San Jose",NA,37.29214,-121.988631,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13706.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jolie Health and Beauty Academy-Turnersville",NA,39.75342,-75.044661,NA,0,NA,NA,NA,NA,NA,NA,NA,14335,13692,15537,17525,17525,NA,75,NA,8027.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ross Medical Education Center-Owensboro",NA,37.72085,-87.119151,NA,0,NA,NA,NA,NA,NA,NA,NA,18530,NA,17023,NA,NA,NA,22,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ross Medical Education Center-Evansville",NA,37.978719,-87.49249,NA,0,NA,NA,NA,NA,NA,NA,NA,19142,18565,21790,NA,NA,NA,62,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ross Medical Education Center-Johnson City",NA,36.35961,-82.383201,NA,0,NA,NA,NA,NA,NA,NA,NA,19491,18373,22592,NA,NA,NA,131,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North-West College-Santa Ana",NA,33.75941,-117.840951,NA,0,NA,NA,NA,NA,NA,NA,NA,22855,24245,25821,NA,NA,NA,36,NA,9330,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North-West College-Long Beach",NA,33.80184,-118.148751,NA,0,NA,NA,NA,NA,NA,NA,NA,21739,22248,24182,26745,NA,NA,124,NA,9330,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Branford Hall Career Institute-Amityville",NA,40.70404,-73.428351,NA,0,NA,NA,NA,NA,NA,NA,NA,21871,21649,23934,25482,25482,NA,208,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor Andrews Academy-Orem",NA,40.27318,-111.707831,NA,0,NA,NA,NA,NA,NA,NA,NA,11041,10371,13166,15795,15795,NA,33,NA,10556,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Florida-Online",32611,29.649206,-82.339359,0.5592,0,3876,16580,NA,9009,NA,9257,12007,NA,NA,NA,NA,NA,5,NA,4995,15815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buchanan Beauty College-Pleasantview",NA,36.366563,-87.044707,NA,0,NA,NA,NA,NA,NA,NA,NA,6933,NA,NA,NA,NA,NA,11,NA,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ogle School Hair Skin Nails-Stafford",77477,29.63631,-95.586949,NA,0,NA,NA,NA,NA,NA,NA,NA,15358,16079,17452,18807,19057,NA,254,NA,9153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Arizona",85282,33.40225,-111.966181,NA,0,10554,10554,NA,NA,NA,NA,NA,16752,17579,19105,21048,21409,NA,9479,5371,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Arkansas",72211,34.74906,-92.395901,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-California",92626,33.685551,-117.885468,NA,0,9818,9818,NA,NA,NA,NA,NA,17548,18850,19642,19099,21875,NA,171,6235,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Colorado",80124,39.55177,-104.873461,NA,0,9796,9796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Florida",32819,28.44536,-81.419471,NA,0,9840,9840,NA,NA,NA,NA,NA,18797,23745,19047,NA,22785,NA,14,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Georgia",30350,33.98039,-84.341891,NA,0,9926,9926,NA,NA,NA,NA,NA,17502,19462,22566,NA,NA,NA,40,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Louisiana",70808,30.42225,-91.150311,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Michigan",48076,42.482514,-83.240998,NA,0,9840,9840,NA,NA,NA,NA,NA,19333,18645,22240,NA,NA,NA,30,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Missouri",63043,38.757035,-90.466727,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Nevada",89135,36.12133,-115.322651,NA,0,9840,9840,NA,NA,NA,NA,NA,18341,20307,21311,23432,22472,NA,27,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-North Carolina",28273,35.15266,-80.949341,NA,0,9840,9840,NA,NA,NA,NA,NA,17452,NA,NA,NA,NA,NA,3,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Oklahoma",73116,35.53774,-97.515374,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Tennessee",37214,36.14478,-86.690211,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Texas",77079,29.78352,-95.585191,NA,0,9834,9834,NA,NA,NA,NA,NA,18782,19790,18836,NA,21746,NA,51,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Virginia",23060,37.64267,-77.563201,NA,0,9840,9840,NA,NA,NA,NA,NA,15398,14555,NA,NA,NA,NA,3,NA,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Phoenix-Pennsylvania",19103,39.952107,-75.16866,NA,0,9840,9840,NA,NA,NA,NA,NA,17044,22247,NA,NA,21827,NA,17,1641,32813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merrillville Beauty College-Flawless Barber Academy",NA,41.483629,-81.591196,NA,0,NA,NA,NA,NA,NA,NA,NA,9934,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tint School of Makeup & Cosmetology-Seattle",NA,47.61149,-122.338591,NA,0,NA,NA,NA,NA,NA,NA,NA,8806,NA,12925,13865,NA,NA,20,NA,7531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centro de Estudios Multidisciplinarios-Mayaguez",NA,18.199248,-67.146405,NA,0,6640,6640,NA,NA,NA,NA,NA,6571,7948,NA,NA,NA,NA,50,2100,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rabbinical College Ohr Yisroel",11236,40.62989,-73.896361,NA,0,9000,9000,NA,NA,NA,NA,NA,6120,6120,8195,NA,NA,NA,32,2167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heritage College-Cleveland",NA,41.372137,-81.833625,NA,0,NA,NA,NA,NA,NA,NA,NA,18023,NA,NA,NA,NA,NA,72,NA,11080.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aveda Institute-Phoenix",85284,33.33954,-111.968911,NA,0,NA,NA,NA,NA,NA,NA,NA,12586,13660,15524,17099,16717,NA,74,NA,10555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dermal Science International Aesthetics and Nail Academy",20190,38.94987,-77.336921,NA,0,NA,NA,NA,NA,NA,NA,NA,7504,NA,8459,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BridgeValley Community & Technical College",25136,38.353906,-81.698461,NA,0.1132,4300,9620,4664,6026,6297,6797,9592,NA,NA,NA,NA,NA,239,NA,5508,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northwest College-Medford",NA,42.36905,-122.852671,NA,0,NA,NA,NA,NA,NA,NA,NA,9885,NA,NA,NA,NA,NA,14,NA,16160,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia College-Fort Pierce",NA,27.416029,-80.325895,NA,0,13932,13932,NA,NA,NA,NA,NA,17756,19512,19920,23479,NA,NA,78,3050,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Training Schools-Gessner",NA,29.722694,-95.53925,NA,0,NA,NA,NA,NA,NA,NA,NA,4310,4724,5752,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Empire Beauty School-Buffalo",NA,42.9081,-78.755101,NA,0,NA,NA,NA,NA,NA,NA,NA,13246,13655,16646,17086,NA,NA,36,NA,10310,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paul Mitchell the School-Toledo",NA,41.70634,-83.667991,NA,0,NA,NA,NA,NA,NA,NA,NA,8248,10914,10014,NA,12804,NA,24,NA,13833,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MJ's Barber Academy",NA,32.69606,-96.840155,NA,0,NA,NA,NA,NA,NA,NA,NA,12675,NA,NA,NA,NA,NA,10,NA,10339,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trine University-Arizona Regional Campus",NA,33.613005,-112.237552,1,0,10390,10390,NA,NA,NA,NA,NA,17380,17705,NA,NA,NA,NA,3,NA,25150,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia Military College",31061,33.07865,-83.224401,NA,0,5940,5940,7630,9307,10775,12269,NA,NA,NA,NA,NA,NA,1189,NA,3859,9498,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Horizons Medical Institute-Winder",NA,33.99481,-83.717561,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7231,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAE Institute of Technology-Chicago",NA,41.89714,-87.637691,NA,0,NA,NA,NA,NA,NA,NA,NA,20510,21753,22950,24213,NA,NA,57,2708,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology",NA,45.53306,-122.654171,NA,0,NA,NA,NA,NA,NA,NA,NA,11795,15197,NA,NA,NA,NA,11,NA,9750,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fayette Beauty Academy-Ritz Beauty Academy",NA,33.73236,-84.284001,NA,0,NA,NA,NA,NA,NA,NA,NA,11431,NA,NA,NA,NA,NA,9,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fayette Beauty Academy-Ritz Beauty Academy",30214,33.571261,-84.346139,NA,0,NA,NA,NA,NA,NA,NA,NA,11310,12024,NA,NA,NA,NA,8,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fountain of Youth Academy of Cosmetology",16046,40.69477,-80.032691,NA,0,NA,NA,NA,NA,NA,NA,NA,14968,NA,14978,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cosmopolitan Beauty and Tech School",NA,39.285191,-76.806415,NA,0,NA,NA,NA,NA,NA,NA,NA,11146,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California College San Diego",92111,32.83529,-117.167131,NA,0,16968,16968,NA,NA,NA,NA,NA,25351,24865,24498,25352,NA,NA,76,10580,25209,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Coast University-Miami",NA,25.81048,-80.347421,1,0,20704,20704,NA,NA,NA,NA,NA,32216,NA,NA,NA,NA,NA,1,7008,33332,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National American University-Houston",77079,29.78323,-95.593031,NA,0,13863,13863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4333,33565.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National American University-Harold D. Buckingham Graduate School",78731,30.35134,-97.752171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33565.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Beauty College",NA,35.239421,-114.027241,NA,0,NA,NA,NA,NA,NA,NA,NA,9610,14086,NA,NA,NA,NA,23,NA,6933,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aparicio-Levy Technical College",33610,27.99012,-82.332111,NA,0,NA,NA,5155,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fred D. Learey Technical College",33614,28.01332,-82.518201,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Vocational Nursing Institute Inc",77065,29.90398,-95.587091,NA,0,NA,NA,NA,NA,NA,NA,NA,25633,NA,24979,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hollywood Institute of Beauty Careers-West Palm Beach",NA,26.648609,-80.056247,NA,0,NA,NA,NA,NA,NA,NA,NA,20362,20839,NA,NA,NA,NA,7,NA,7666,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hollywood Institute of Beauty Careers-Casselberry",NA,28.633741,-81.319935,NA,0,NA,NA,NA,NA,NA,NA,NA,21451,25521,NA,NA,NA,NA,21,NA,7666,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Empire Beauty School-Cheltenham",19095,40.082149,-75.168624,NA,0,NA,NA,NA,NA,NA,NA,NA,16217,17787,19832,21022,NA,NA,57,NA,11829,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High Tech High Graduate School of Education",92106,32.72875,-117.220681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coachella Valley Beauty College-Beaumont",NA,33.929501,-116.947789,NA,0,NA,NA,NA,NA,NA,NA,NA,10682,10881,14581,NA,NA,NA,18,NA,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dewey University-Mayaguez",NA,18.225734,-67.169434,NA,0.4,5835,5835,NA,NA,NA,NA,NA,2487,3696,NA,NA,NA,NA,24,6667,4561.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coastal Pines Technical College",31503,31.21304,-82.383251,NA,0.0096,4770,8775,9749,10567,11048,12996,NA,NA,NA,NA,NA,NA,91,NA,4014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Studio Beauty School",99205,47.683369,-117.42662,NA,0,NA,NA,NA,NA,NA,NA,NA,11736,11736,12886,NA,NA,NA,4,NA,7836,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latin Beauty Academy",NA,26.64951,-80.143681,NA,0,NA,NA,NA,NA,NA,NA,NA,7881,8134,8766,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Associated Barber College of San Diego",NA,32.7192,-117.159901,NA,0,NA,NA,NA,NA,NA,NA,NA,20276,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCO Technology",NA,33.97882,-118.394891,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"International Sports Sciences Association",NA,34.386951,-119.486239,NA,0,8528,8528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"International Hair and Barber Academy",NA,26.35133,-80.154991,NA,0,NA,NA,NA,NA,NA,NA,NA,15155,16086,17938,NA,NA,NA,16,NA,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Texas Health Science Center at Tyler",NA,32.42655,-95.221961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California Intercontinental University",NA,33.696996,-117.851648,NA,0,8690,8690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infinity College",NA,30.21286,-92.007911,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Healthcare Careers College",NA,34.0499,-118.274771,NA,0,NA,NA,NA,NA,NA,NA,NA,10673,11125,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MKG Beauty & Business",NA,41.78608,-71.472161,NA,0,NA,NA,NA,NA,NA,NA,NA,14920,16259,16093,17319,17319,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Beginnings Beauty Academy",NA,34.203728,-92.019184,NA,0,NA,NA,NA,NA,NA,NA,NA,7822,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dolce LLC The Academy",NA,41.54245,-73.000631,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Beauty School",72653,36.34705,-92.369711,NA,0,NA,NA,NA,NA,NA,NA,NA,17350,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atlantis University",33132,25.788556,-80.18916,NA,0,4928,4928,NA,NA,NA,NA,NA,8903,14946,15779,13954,15779,NA,20,4167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Westchester School for Dental Assistant",10523,41.03589,-73.781611,NA,0,NA,NA,NA,NA,NA,NA,NA,11646,12269,14226,13839,NA,NA,113,NA,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K & G 5 Star Barber College",77591,29.378543,-95.000852,NA,0,NA,NA,NA,NA,NA,NA,NA,14567,NA,NA,NA,NA,NA,40,NA,16500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Studio Incamminati",NA,39.958782,-75.158406,NA,0,12025,12025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bet Medrash Gadol Ateret Torah",11223,40.607697,-73.969717,0.725,0,9200,9200,NA,NA,NA,NA,NA,5700,9018,5500,NA,NA,NA,5,4692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yeshiva Gedola Ohr Yisrael",11229,40.61359,-73.944041,0.25,0,6750,6750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yeshiva Sholom Shachna",11230,40.6275,-73.973431,0.9655,0,9550,9550,NA,NA,NA,NA,NA,8887,9943,10393,10833,NA,NA,12,3625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GDS Institute",NA,33.965755,-118.225161,NA,0,NA,NA,NA,NA,NA,NA,NA,17818,17818,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Professional Academy of Cosmetology",NA,40.11416,-75.333161,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Theatre of Arts",NA,34.09919,-118.338301,0.7037,0,19800,19800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Westchester College of Nursing & Allied Health",NA,33.95487,-118.396511,NA,0,15000,15000,NA,NA,NA,NA,NA,29979,28719,30969,34278,34449,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"School District of Indian River County-Technical Center for Career and Adult Education",NA,27.63639,-80.400031,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American College of Barbering",NA,38.086353,-85.667722,NA,0,NA,NA,NA,NA,NA,NA,NA,13056,14243,NA,17269,NA,NA,25,NA,16500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Francisco College of Cosmetology",NA,37.763813,-122.419524,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beth Medrash Meor Yitzchok",NA,41.10067,-74.060831,0.4952,0,8200,8200,NA,NA,NA,NA,NA,11631,13133,14490,NA,NA,NA,17,3869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mingo Extended Learning Center",NA,37.676888,-82.17713,NA,0,NA,NA,4668,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ibero American College",84119,40.75928,-111.865761,NA,0,NA,NA,NA,NA,NA,NA,NA,31010,NA,30140,NA,32530,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Ignacio College",NA,25.81303,-80.365681,NA,0,10250,10250,NA,NA,NA,NA,NA,3451,5921,NA,11101,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZMS The Academy",NA,34.11174,-118.189061,NA,0,NA,NA,NA,NA,NA,NA,NA,6658,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valor Christian College",43110,39.891541,-82.829801,NA,0,4270,4270,NA,NA,NA,NA,NA,8379,8718,NA,12498,NA,NA,9,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
